NOTA,COMENTARIO
4,"Foi um bom serviço, estou satisfeito."
4,Fiquei satisfeito com o atendimento.
4,"O atendimento foi bom, tudo correu bem."
4,Ambiente agradável e ótimo serviço.
4,Muito satisfeito com o resultado da consulta.
4,"Ótima consulta, serviço de qualidade."
4,"Atendimento foi muito bom, gostei."
5,"Consulta realizada com sucesso, muito bom."
4,"Atendimento foi muito positivo, recomendo."
3,"Tudo ocorreu conforme o esperado, ótimo serviço."
5,"Profissionais atenciosos, gostei muito."
4,"Bom atendimento, recomendo."
4,"Consulta agradável, serviço bom."
5,"Gostei bastante do atendimento, foi muito bom."
4,Fui bem atendido e me senti confortável.
3,"Atendimento foi bom, tudo tranquilo."
4,"Muito bom, serviço de qualidade."
4,"Profissionais bem preparados, ótimo atendimento."
5,"Atendimento perfeito, nada a reclamar."
5,"Fui muito bem atendido, excelente equipe."
5,"Ótima consulta, profissionais capacitados."
5,"Equipe maravilhosa, fui muito bem recebido."
5,"Atendimento excepcional, superou expectativas."
5,"Clínica de excelência, adorei o atendimento."
5,"Muito bom, atendimento impecável."
5,"Serviço incrível, tudo perfeito."
5,"Consulta excelente, recomendaria a todos."
5,"Fiquei muito satisfeito, foi perfeito."
5,"Profissionais de alto nível, atendimento impecável."
5,"Fui extremamente bem tratado, perfeito."
5,"Atendimento maravilhoso, melhor impossível."
5,"Clínica excelente, tudo impecável."
5,"Fui tratado com muito cuidado, excelente."
5,"Serviço excepcional, nota máxima."
5,"Consulta excelente, recomendo a todos."
5,Profissionais altamente qualificados.
5,"Experiência incrível, sem falhas."
5,"Atendimento perfeito, super recomendo."
1,"Atendimento péssimo, não recomendo."
1,"Consulta horrível, muito insatisfeito."
1,"Não gostei, atendimento terrível."
1,"Muito ruim, falta de profissionalismo."
1,"Total falta de atenção, não volto mais."
1,"Fui muito mal atendido, péssimo serviço."
1,"Atendimento desastroso, não recomendo a ninguém."
1,Consulta completamente insatisfatória.
1,"Horrível, a pior consulta que já fiz."
1,"Foi péssimo, não volto mais."
1,"Experiência horrível, fiquei muito insatisfeito."
1,"Atendimento abaixo de qualquer expectativa, péssimo."
1,"Serviço terrível, total falta de atenção."
1,"Péssimo atendimento, saí muito insatisfeito."
1,"Não fui bem tratado, atendimento horrível."
1,"Consulta ruim, péssimo ambiente."
1,"Horrível, não recomendo para ninguém."
1,"Experiência péssima, fiquei muito decepcionado."
1,Total falta de respeito com o paciente.
1,"Atendimento horrível, jamais voltarei."
2,"Atendimento fraco, faltou cuidado."
2,Consulta deixou muito a desejar.
2,"Não foi uma boa experiência, bastante ruim."
2,"Atendimento fraco, esperava mais."
2,"O serviço foi ruim, faltou atenção."
2,"Consulta abaixo do esperado, atendimento ruim."
2,"Serviço ruim, não fiquei satisfeito."
2,"Foi um atendimento ruim, não volto mais."
2,"Faltou atenção e cuidado, atendimento ruim."
2,"Consulta ruim, esperava mais cuidado."
2,"Atendimento muito fraco, fiquei decepcionado."
2,"Serviço ruim, não volto mais a essa clínica."
2,"Consulta fraca, faltou atenção do dentista."
2,"Experiência ruim, muito insatisfeito."
2,"Não foi bom, faltou mais cuidado no atendimento."
2,"Consulta decepcionante, serviço ruim."
2,"O atendimento foi fraco, fiquei insatisfeito."
2,"Não gostei da consulta, serviço ruim."
2,"Foi um atendimento ruim, faltou atenção."
2,"Consulta ruim, esperava mais cuidado."
5,Excelente atendimento!
4,"Bom serviço, mas o tempo de espera foi longo."
3,"Atendimento razoável, poderia ser melhor."
2,Não fiquei satisfeito com o atendimento.
1,"Péssimo serviço, não recomendo."
5,"Ótimo, super recomendo!"
4,"Bom atendimento, mas poderia melhorar a comunicação."
3,"Regular, atendeu as minhas necessidades."
5,"Melhor especialista que já fui, super atencioso!"
2,"O especialista estava apressado, não gostei muito."
1,Atendimento horrível.
1,Muito tempo de espera e atendimento ruim.
1,Não fui bem atendido.
1,"Não recomendo, péssima experiência."
1,Desorganização total.
1,Fui ignorado.
1,O atendimento foi muito ruim.
1,"Não gostei, total falta de profissionalismo."
1,Não resolveram o meu problema.
1,"Atendimento péssimo, demorado e sem qualidade."
1,A clínica estava suja.
1,Não voltaria nunca.
1,Completamente insatisfeito com o serviço.
1,Não consegui resolver meu problema com eles.
1,Muito insatisfeito com o atendimento.
1,Falta de respeito com o cliente.
1,Pior consulta que já tive.
1,Profissional despreparado.
1,Atendimento muito aquém do esperado.
1,Atendimento razoável.
1,Uma experiência desastrosa.
2,Esperava mais do atendimento.
2,"Fui atendido, mas com muitos problemas."
2,Não foi um bom atendimento.
2,Serviço abaixo do esperado.
2,"Atendimento razoável, mas com falhas."
2,Pouca atenção aos detalhes.
2,Atendimento muito corrido e sem cuidado.
2,Demorou muito para ser atendido.
2,O atendimento não foi satisfatório.
2,Faltou organização e eficiência.
2,Experiência decepcionante.
2,Muitos atrasos e pouca atenção.
2,Achei que poderiam ser mais atenciosos.
2,"Serviço ok, mas com margem para melhora."
2,Faltou profissionalismo.
2,Serviço lento e desorganizado.
2,Demoraram muito para me atender.
2,Pouco cuidado e atenção durante a consulta.
2,Faltou atenção ao cliente.
2,Deixou a desejar.
2,Não fiquei satisfeito com o serviço.
3,"Atendimento razoável, mas pode melhorar."
3,"Não foi ruim, mas esperava mais."
3,O serviço foi mediano.
3,Tudo ocorreu de forma aceitável.
3,"Nada de especial, atendimento ok."
3,Foi uma experiência regular.
3,Atendimento dentro do esperado.
3,"Consulta mediana, sem grandes problemas."
3,"O serviço foi ok, sem nada demais."
3,"Atendimento regular, nada de mais."
3,"Foi tudo bem, mas podia ser melhor."
3,"Consulta normal, nada excepcional."
3,"Atendimento regular, sem grandes problemas."
3,"Foi uma consulta ok, mas poderia melhorar."
3,"Tudo dentro do esperado, mas nada de especial."
3,"Esperava um pouco mais, mas foi razoável."
3,"Consulta normal, sem problemas graves."
4,Bom atendimento e profissionalismo.
4,Gostei bastante do atendimento.
4,Fui bem atendido e fiquei satisfeito.
4,Ambiente agradável e atendimento de qualidade.
4,"Muito bom, com certeza voltarei."
4,Experiência bem positiva.
4,"Fui bem atendido, consulta eficiente."
4,"Profissional atencioso, tudo foi ótimo."
4,Gostei muito da atenção que recebi.
4,Consulta boa e sem problemas.
4,Atendimento muito satisfatório.
4,Bom atendimento e ambiente limpo.
4,"Muito bom, recomendo."
4,Consulta boa e sem complicações.
4,Atendimento bom e rápido.
4,Muito satisfeito com o atendimento.
4,"Profissional bem preparado, foi tudo ótimo."
5,"Atendimento excelente, recomendo!"
5,"Ótima experiência, fui muito bem atendido."
5,Profissionais muito atenciosos e capacitados.
5,Muito satisfeito com a qualidade do serviço.
5,"Atendimento excepcional, vou voltar com certeza."
5,"Excelente atendimento, equipe muito qualificada."
5,"O serviço foi perfeito, melhor clínica que já fui."
5,"Muito satisfeito, atendimento de primeira."
5,Equipe muito atenciosa e tratamento de alta qualidade.
5,"Tudo impecável, recomendo fortemente."
5,"Atendimento excelente, fui muito bem recebido."
5,"Muito satisfeito, atendimento exemplar."
5,"Ótimo atendimento, nota 10."
5,"Serviço de excelência, sem defeitos."
5,"Excelente atendimento, com certeza recomendo."
5,"Consulta perfeita, tudo correu muito bem."
5,"Ótimo atendimento, muito satisfeito."
5,"Atendimento nota 10, recomendo para todos."
5,"Atendimento excelente, superou minhas expectativas."
3,"O atendimento foi suficiente, mas sem grandes surpresas."
3,"Foi razoável, mas poderia ter sido mais atencioso."
3,"A consulta foi aceitável, porém com melhorias a fazer."
3,"O serviço foi regular, sem muito destaque."
3,"Consulta razoável, mas poderia melhorar."
3,"O atendimento foi ok, mas nada de especial."
3,"Consulta normal, atendimento básico."
3,"Foi dentro do esperado, sem grandes problemas."
3,"A consulta foi ok, mas não houve nada de diferente."
3,"Fui atendido, mas o serviço foi apenas razoável."
3,"Atendimento dentro do padrão, mas sem grandes qualidades."
3,"O serviço foi ok, mas não me surpreendeu."
3,"Foi um atendimento simples, sem grandes diferenciais."
3,"Consulta foi regular, mas nada impressionante."
3,"Atendimento padrão, nada de novo."
3,"Fui atendido de maneira adequada, mas sem destaques."
3,"Atendimento simples, razoável."
3,"Consulta foi ok, mas com alguns pontos a melhorar."
4,Consulta agradável e bom atendimento.
